!!SCT,EX,,,,,,,,
!!ID,VALUE,DESC,ETYPE,FTYPE,STATION,VALUES,PORT,DEVNAME,TYPE
SXS_CT2530_B_02_CP04_006_1,0,实训室2530电流互感器B相瓷瓶破损,电流互感器,套管瓷瓶,实训室,0,0,0,0
SXS_CT2530_B_02_CP04_006_2,0,实训室2530电流互感器B相瓷瓶积污,电流互感器,套管瓷瓶,实训室,0,0,0,0
SXS_CT2530_B_02_DX01_001_1,0,实训室2530电流互感器B相靠母线侧接地线松脱,电流互感器,接地线,实训室,0,0,0,0
SXS_CT2530_B_02_DX01_002_1,0,实训室2530电流互感器B相靠主变侧接地线松脱,电流互感器,接地线,实训室,0,0,0,0
SXS_CT2501_B_02_CP04_006_1,0,实训室2501电流互感器B相瓷瓶破损,电流互感器,套管瓷瓶,实训室,0,0,0,0
SXS_CT2501_B_02_CP04_006_2,0,实训室2501电流互感器B相瓷瓶积污,电流互感器,套管瓷瓶,实训室,0,0,0,0
SXS_CT2501_B_02_DX01_001_1,0,实训室2501电流互感器B相靠母线侧接地线松脱,电流互感器,接地线,实训室,0,0,0,0
SXS_CT2501_B_02_DX01_002_1,0,实训室2501电流互感器B相靠主变侧接地线松脱,电流互感器,接地线,实训室,0,0,0,0
SXS_CT2502_B_02_CP04_006_1,0,实训室2502电流互感器B相瓷瓶破损,电流互感器,套管瓷瓶,实训室,0,0,0,0
SXS_CT2502_B_02_CP04_006_2,0,实训室2502电流互感器B相瓷瓶积污,电流互感器,套管瓷瓶,实训室,0,0,0,0
SXS_CT2502_B_02_DX01_001_1,0,实训室2502电流互感器B相靠母线侧接地线松脱,电流互感器,接地线,实训室,0,0,0,0
SXS_CT2502_B_02_DX01_002_1,0,实训室2502电流互感器B相靠主变侧接地线松脱,电流互感器,接地线,实训室,0,0,0,0
SXS_2502CT_C_YXFH_1,0,实训室2502电流互感器C相引线发红,线路,引线发红,实训室,0,0,0,0
SXS_CT2503_B_02_CP04_006_1,0,实训室2503电流互感器B相瓷瓶破损,电流互感器,套管瓷瓶,实训室,0,0,0,0
SXS_CT2503_B_02_CP04_006_2,0,实训室2503电流互感器B相瓷瓶积污,电流互感器,套管瓷瓶,实训室,0,0,0,0
SXS_CT2503_B_02_DX01_001_1,0,实训室2503电流互感器B相靠母线侧接地线松脱,电流互感器,接地线,实训室,0,0,0,0
SXS_CT2503_B_02_DX01_002_1,0,实训室2503电流互感器B相靠主变侧接地线松脱,电流互感器,接地线,实训室,0,0,0,0
SXS_CT2550_B_02_CP04_006_1,0,实训室2550电流互感器B相瓷瓶破损,电流互感器,套管瓷瓶,实训室,0,0,0,0
SXS_CT2550_B_02_CP04_006_2,0,实训室2550电流互感器B相瓷瓶积污,电流互感器,套管瓷瓶,实训室,0,0,0,0
SXS_CT2550_B_02_DX01_001_1,0,实训室2550电流互感器B相靠母线侧接地线松脱,电流互感器,接地线,实训室,0,0,0,0
SXS_CT2550_B_02_DX01_002_1,0,实训室2550电流互感器B相靠主变侧接地线松脱,电流互感器,接地线,实训室,0,0,0,0
SXS_CT2600_B_03_CP04_006_1,0,实训室2600电流互感器B相瓷瓶破损,电流互感器,套管瓷瓶,实训室,0,0,0,0
SXS_CT2600_B_03_CP04_006_2,0,实训室2600电流互感器B相瓷瓶积污,电流互感器,套管瓷瓶,实训室,0,0,0,0
SXS_CT2600_B_03_DX01_001_1,0,实训室2600电流互感器B相靠开关侧接地线松脱,电流互感器,接地线,实训室,0,0,0,0
SXS_CT2600_B_03_DX01_002_1,0,实训室2600电流互感器B相靠刀闸侧接地线松脱,电流互感器,接地线,实训室,0,0,0,0
SXS_CT2500_B_03_CP04_006_1,0,实训室2500电流互感器B相瓷瓶破损,电流互感器,套管瓷瓶,实训室,0,0,0,0
SXS_CT2500_B_03_CP04_006_2,0,实训室2500电流互感器B相瓷瓶积污,电流互感器,套管瓷瓶,实训室,0,0,0,0
SXS_CT2500_B_03_DX01_001_1,0,实训室2500电流互感器B相靠开关侧接地线松脱,电流互感器,接地线,实训室,0,0,0,0
SXS_CT2500_B_03_DX01_002_1,0,实训室2500电流互感器B相靠刀闸侧接地线松脱,电流互感器,接地线,实训室,0,0,0,0
SXS_K253004_CP12_023_1,0,实训室2530开关B首端瓷瓶上段破损,开关,套管瓷瓶,实训室,0,0,0,0
SXS_K253004_CP12_023_2,0,实训室2530开关B首端瓷瓶上段积污,开关,套管瓷瓶,实训室,0,0,0,0
SXS_K253004_CP11_020_1,0,实训室2530开关B首端瓷瓶下段破损,开关,套管瓷瓶,实训室,0,0,0,0
SXS_K253004_CP11_020_2,0,实训室2530开关B首端瓷瓶下段积污,开关,套管瓷瓶,实训室,0,0,0,0
SXS_K253004_CP07_026_1,0,实训室2530开关B末端瓷瓶破损,开关,套管瓷瓶,实训室,0,0,0,0
SXS_K253004_CP07_026_2,0,实训室2530开关B末端瓷瓶积污,开关,套管瓷瓶,实训室,0,0,0,0
SXS_K253004_DX01_001_1,0,实训室2530开关A相接地线松脱,开关,接地线,实训室,0,0,0,0
SXS_K250104_CP12_023_1,0,实训室2501开关B首端瓷瓶上段破损,开关,套管瓷瓶,实训室,0,0,0,0
SXS_K250104_CP12_023_2,0,实训室2501开关B首端瓷瓶上段积污,开关,套管瓷瓶,实训室,0,0,0,0
SXS_K250104_CP11_020_1,0,实训室2501开关B首端瓷瓶下段破损,开关,套管瓷瓶,实训室,0,0,0,0
SXS_K250104_CP11_020_2,0,实训室2501开关B首端瓷瓶下段积污,开关,套管瓷瓶,实训室,0,0,0,0
SXS_K250104_CP07_026_1,0,实训室2501开关B末端瓷瓶破损,开关,套管瓷瓶,实训室,0,0,0,0
SXS_K250104_CP07_026_2,0,实训室2501开关B末端瓷瓶积污,开关,套管瓷瓶,实训室,0,0,0,0
SXS_K250104_DX01_001_1,0,实训室2501开关A相接地线松脱,开关,接地线,实训室,0,0,0,0
SXS_K250204_CP12_023_1,0,实训室2502开关B首端瓷瓶上段破损,开关,套管瓷瓶,实训室,0,0,0,0
SXS_K250204_CP12_023_2,0,实训室2502开关B首端瓷瓶上段积污,开关,套管瓷瓶,实训室,0,0,0,0
SXS_K250204_CP11_020_1,0,实训室2502开关B首端瓷瓶下段破损,开关,套管瓷瓶,实训室,0,0,0,0
SXS_K250204_CP11_020_2,0,实训室2502开关B首端瓷瓶下段积污,开关,套管瓷瓶,实训室,0,0,0,0
SXS_K250204_CP07_026_1,0,实训室2502开关B末端瓷瓶破损,开关,套管瓷瓶,实训室,0,0,0,0
SXS_K250204_CP07_026_2,0,实训室2502开关B末端瓷瓶积污,开关,套管瓷瓶,实训室,0,0,0,0
SXS_K250204_DX01_001_1,0,实训室2502开关A相接地线松脱,开关,接地线,实训室,0,0,0,0
SXS_2502_A_YXFH_1,0,实训室2502开关A相引线发红,线路,引线发红,实训室,0,0,0,0
SXS_K250301_CP12_019_1,0,实训室2503开关B首端瓷瓶上段破损,开关,套管瓷瓶,实训室,0,0,0,0
SXS_K250301_CP12_019_2,0,实训室2503开关B首端瓷瓶上段积污,开关,套管瓷瓶,实训室,0,0,0,0
SXS_K250301_CP11_016_1,0,实训室2503开关B首端瓷瓶下段破损,开关,套管瓷瓶,实训室,0,0,0,0
SXS_K250301_CP11_016_2,0,实训室2503开关B首端瓷瓶下段积污,开关,套管瓷瓶,实训室,0,0,0,0
SXS_K250301_CP07_022_1,0,实训室2503开关B末端瓷瓶破损,开关,套管瓷瓶,实训室,0,0,0,0
SXS_K250301_CP07_022_2,0,实训室2503开关B末端瓷瓶积污,开关,套管瓷瓶,实训室,0,0,0,0
SXS_K250301_DX01_001_1,0,实训室2503开关A相接地线松脱,开关,接地线,实训室,0,0,0,0
SXS_K255004_CP12_023_1,0,实训室2550开关B首端瓷瓶上段破损,开关,套管瓷瓶,实训室,0,0,0,0
SXS_K255004_CP12_023_2,0,实训室2550开关B首端瓷瓶上段积污,开关,套管瓷瓶,实训室,0,0,0,0
SXS_K255004_CP11_020_1,0,实训室2550开关B首端瓷瓶下段破损,开关,套管瓷瓶,实训室,0,0,0,0
SXS_K255004_CP11_020_2,0,实训室2550开关B首端瓷瓶下段积污,开关,套管瓷瓶,实训室,0,0,0,0
SXS_K255004_CP07_026_1,0,实训室2550开关B末端瓷瓶破损,开关,套管瓷瓶,实训室,0,0,0,0
SXS_K255004_CP07_026_2,0,实训室2550开关B末端瓷瓶积污,开关,套管瓷瓶,实训室,0,0,0,0
SXS_K255004_DX01_001_1,0,实训室2550开关A相接地线松脱,开关,接地线,实训室,0,0,0,0
SXS_K260003_CP12_024_1,0,实训室2600开关B相末端瓷瓶上段破损,开关,套管瓷瓶,实训室,0,0,0,0
SXS_K260003_CP12_024_2,0,实训室2600开关B相末端瓷瓶上段积污,开关,套管瓷瓶,实训室,0,0,0,0
SXS_K260003_CP11_020_1,0,实训室2600开关B相末端瓷瓶下段破损,开关,套管瓷瓶,实训室,0,0,0,0
SXS_K260003_CP11_020_2,0,实训室2600开关B相末端瓷瓶下段积污,开关,套管瓷瓶,实训室,0,0,0,0
SXS_K260003_CP07_026_1,0,实训室2600开关B相首端瓷瓶破损,开关,套管瓷瓶,实训室,0,0,0,0
SXS_K260003_CP07_026_2,0,实训室2600开关B相首端瓷瓶积污,开关,套管瓷瓶,实训室,0,0,0,0
SXS_K260003_DX01_002_1,0,实训室2600开关A相接地线松脱,开关,接地线,实训室,0,0,0,0
SXS_K250003_CP12_024_1,0,实训室2500开关B相末端瓷瓶上段破损,开关,套管瓷瓶,实训室,0,0,0,0
SXS_K250003_CP12_024_2,0,实训室2500开关B相末端瓷瓶上段积污,开关,套管瓷瓶,实训室,0,0,0,0
SXS_K250003_CP11_020_1,0,实训室2500开关B相末端瓷瓶下段破损,开关,套管瓷瓶,实训室,0,0,0,0
SXS_K250003_CP11_020_2,0,实训室2500开关B相末端瓷瓶下段积污,开关,套管瓷瓶,实训室,0,0,0,0
SXS_K250003_CP07_026_1,0,实训室2500开关B相首端瓷瓶破损,开关,套管瓷瓶,实训室,0,0,0,0
SXS_K250003_CP07_026_2,0,实训室2500开关B相首端瓷瓶积污,开关,套管瓷瓶,实训室,0,0,0,0
SXS_K250003_DX01_002_1,0,实训室2500开关A相接地线松脱,开关,接地线,实训室,0,0,0,0
SXS_PTM4M4_C_01_CP05_008_1,0,实训室220kV IV母电压互感器C相瓷瓶上段破损,电压互感器,套管瓷瓶,实训室,0,0,0,0
SXS_PTM4M4_C_01_CP05_008_2,0,实训室220kV IV母电压互感器C相瓷瓶上段积污,电压互感器,套管瓷瓶,实训室,0,0,0,0
SXS_PTM4M4_C_01_CP05_007_1,0,实训室220kV IV母电压互感器C相瓷瓶下段破损,电压互感器,套管瓷瓶,实训室,0,0,0,0
SXS_PTM4M4_C_01_CP05_007_2,0,实训室220kV IV母电压互感器C相瓷瓶下段积污,电压互感器,套管瓷瓶,实训室,0,0,0,0
SXS_PTM4M4_C_01_DX01_002_1,0,实训室220kV IV母电压互感器C相靠母线侧接地线松脱,电压互感器,接地线,实训室,0,0,0,0
SXS_PTM4M4_C_01_DX01_003_1,0,实训室220kV IV母电压互感器C相靠压变侧接地线松脱,电压互感器,接地线,实训室,0,0,0,0
SXS_PTM3M3_C_01_CP05_008_1,0,实训室220kV III母电压互感器C相瓷瓶上段破损,电压互感器,套管瓷瓶,实训室,0,0,0,0
SXS_PTM3M3_C_01_CP05_008_2,0,实训室220kV III母电压互感器C相瓷瓶上段积污,电压互感器,套管瓷瓶,实训室,0,0,0,0
SXS_PTM3M3_C_01_CP05_007_1,0,实训室220kV III母电压互感器C相瓷瓶下段破损,电压互感器,套管瓷瓶,实训室,0,0,0,0
SXS_PTM3M3_C_01_CP05_007_2,0,实训室220kV III母电压互感器C相瓷瓶下段积污,电压互感器,套管瓷瓶,实训室,0,0,0,0
SXS_PTM3M3_C_01_DX01_002_1,0,实训室220kV III母电压互感器C相靠母线侧接地线松脱,电压互感器,接地线,实训室,0,0,0,0
SXS_PTM2M2_C_01_CP05_008_1,0,实训室220kV II母电压互感器C相瓷瓶上段破损,电压互感器,套管瓷瓶,实训室,0,0,0,0
SXS_PTM2M2_C_01_CP05_008_2,0,实训室220kV II母电压互感器C相瓷瓶上段积污,电压互感器,套管瓷瓶,实训室,0,0,0,0
SXS_PTM2M2_C_01_CP05_007_1,0,实训室220kV II母电压互感器C相瓷瓶下段破损,电压互感器,套管瓷瓶,实训室,0,0,0,0
SXS_PTM2M2_C_01_CP05_007_2,0,实训室220kV II母电压互感器C相瓷瓶下段积污,电压互感器,套管瓷瓶,实训室,0,0,0,0
SXS_PTM2M2_C_01_DX01_002_1,0,实训室220kV II母电压互感器C相靠母线侧接地线松脱,电压互感器,接地线,实训室,0,0,0,0
SXS_PTM2M2_C_01_DX01_003_1,0,实训室220kV II母电压互感器C相靠压变侧接地线松脱,电压互感器,接地线,实训室,0,0,0,0
SXS_PTM1M1_C_01_CP05_008_1,0,实训室220kV I母电压互感器C相瓷瓶上段破损,电压互感器,套管瓷瓶,实训室,0,0,0,0
SXS_PTM1M1_C_01_CP05_008_2,0,实训室220kV I母电压互感器C相瓷瓶上段积污,电压互感器,套管瓷瓶,实训室,0,0,0,0
SXS_PTM1M1_C_01_CP05_007_1,0,实训室220kV I母电压互感器C相瓷瓶下段破损,电压互感器,套管瓷瓶,实训室,0,0,0,0
SXS_PTM1M1_C_01_CP05_007_2,0,实训室220kV I母电压互感器C相瓷瓶下段积污,电压互感器,套管瓷瓶,实训室,0,0,0,0
SXS_PTM1M1_C_01_DX01_002_1,0,实训室220kV I母电压互感器C相靠母线侧接地线松脱,电压互感器,接地线,实训室,0,0,0,0
SXS_PTM1M1_C_01_DX01_003_1,0,实训室220kV I母电压互感器C相靠压变侧接地线松脱,电压互感器,接地线,实训室,0,0,0,0
SXS_SW2530211_CP07_038_1,0,实训室25302刀闸B相首端大瓷瓶上段破损,刀闸,套管瓷瓶,实训室,0,0,0,0
SXS_SW2530211_CP07_038_2,0,实训室25302刀闸B相首端大瓷瓶上段积污,刀闸,套管瓷瓶,实训室,0,0,0,0
SXS_SW2530211_CP07_037_1,0,实训室25302刀闸B相首端大瓷瓶下段破损,刀闸,套管瓷瓶,实训室,0,0,0,0
SXS_SW2530211_CP07_037_2,0,实训室25302刀闸B相首端大瓷瓶下段积污,刀闸,套管瓷瓶,实训室,0,0,0,0
SXS_SW2530211_CP08_050_1,0,实训室25302刀闸B相首端小瓷瓶上段破损,刀闸,套管瓷瓶,实训室,0,0,0,0
SXS_SW2530211_CP08_050_2,0,实训室25302刀闸B相首端小瓷瓶上段积污,刀闸,套管瓷瓶,实训室,0,0,0,0
SXS_SW2530211_CP08_049_1,0,实训室25302刀闸B相首端小瓷瓶下段破损,刀闸,套管瓷瓶,实训室,0,0,0,0
SXS_SW2530211_CP08_049_2,0,实训室25302刀闸B相首端小瓷瓶下段积污,刀闸,套管瓷瓶,实训室,0,0,0,0
SXS_SW2530211_DX01_008_1,0,实训室25302刀闸B相首端靠CT侧接地线松脱,刀闸,接地线,实训室,0,0,0,0
SXS_SW2530111_CP07_038_1,0,实训室25301刀闸B相末端大瓷瓶上段破损,刀闸,套管瓷瓶,实训室,0,0,0,0
SXS_SW2530111_CP07_038_2,0,实训室25301刀闸B相末端大瓷瓶上段积污,刀闸,套管瓷瓶,实训室,0,0,0,0
SXS_SW2530111_CP07_037_1,0,实训室25301刀闸B相末端大瓷瓶下段破损,刀闸,套管瓷瓶,实训室,0,0,0,0
SXS_SW2530111_CP07_037_2,0,实训室25301刀闸B相末端大瓷瓶下段积污,刀闸,套管瓷瓶,实训室,0,0,0,0
SXS_SW2530111_CP08_050_1,0,实训室25301刀闸B相末端小瓷瓶上段破损,刀闸,套管瓷瓶,实训室,0,0,0,0
SXS_SW2530111_CP08_050_2,0,实训室25301刀闸B相末端小瓷瓶上段积污,刀闸,套管瓷瓶,实训室,0,0,0,0
SXS_SW2530111_CP08_049_1,0,实训室25301刀闸B相末端小瓷瓶下段破损,刀闸,套管瓷瓶,实训室,0,0,0,0
SXS_SW2530111_CP08_049_2,0,实训室25301刀闸B相末端小瓷瓶下段积污,刀闸,套管瓷瓶,实训室,0,0,0,0
SXS_SW2530111_DX01_006_1,0,实训室25301刀闸B相末端靠开关侧接地线松脱,刀闸,接地线,实训室,0,0,0,0
SXS_SW21905_CP07_038_1,0,实训室219刀闸B相末端大瓷瓶上段破损,刀闸,套管瓷瓶,实训室,0,0,0,0
SXS_SW21905_CP07_038_2,0,实训室219刀闸B相末端大瓷瓶上段积污,刀闸,套管瓷瓶,实训室,0,0,0,0
SXS_SW21905_CP07_037_1,0,实训室219刀闸B相末端大瓷瓶下段破损,刀闸,套管瓷瓶,实训室,0,0,0,0
SXS_SW21905_CP07_037_2,0,实训室219刀闸B相末端大瓷瓶下段积污,刀闸,套管瓷瓶,实训室,0,0,0,0
SXS_SW21905_CP08_050_1,0,实训室219刀闸B相末端小瓷瓶上段破损,刀闸,套管瓷瓶,实训室,0,0,0,0
SXS_SW21905_CP08_050_2,0,实训室219刀闸B相末端小瓷瓶上段积污,刀闸,套管瓷瓶,实训室,0,0,0,0
SXS_SW21905_CP08_049_1,0,实训室219刀闸B相末端小瓷瓶下段破损,刀闸,套管瓷瓶,实训室,0,0,0,0
SXS_SW21905_CP08_049_2,0,实训室219刀闸B相末端小瓷瓶下段积污,刀闸,套管瓷瓶,实训室,0,0,0,0
SXS_SW21905_DX01_013_1,0,实训室219刀闸B相末端靠母线侧接地线松脱,刀闸,接地线,实训室,0,0,0,0
SXS_SW22914_CP07_023_1,0,实训室229刀闸B相末端大瓷瓶上段破损,刀闸,套管瓷瓶,实训室,0,0,0,0
SXS_SW22914_CP07_023_2,0,实训室229刀闸B相末端大瓷瓶上段积污,刀闸,套管瓷瓶,实训室,0,0,0,0
SXS_SW22914_CP07_022_1,0,实训室229刀闸B相末端大瓷瓶下段破损,刀闸,套管瓷瓶,实训室,0,0,0,0
SXS_SW22914_CP07_022_2,0,实训室229刀闸B相末端大瓷瓶下段积污,刀闸,套管瓷瓶,实训室,0,0,0,0
SXS_SW22914_CP08_029_1,0,实训室229刀闸B相末端小瓷瓶上段破损,刀闸,套管瓷瓶,实训室,0,0,0,0
SXS_SW22914_CP08_029_2,0,实训室229刀闸B相末端小瓷瓶上段积污,刀闸,套管瓷瓶,实训室,0,0,0,0
SXS_SW22914_CP08_028_1,0,实训室229刀闸B相末端小瓷瓶下段破损,刀闸,套管瓷瓶,实训室,0,0,0,0
SXS_SW22914_CP08_028_2,0,实训室229刀闸B相末端小瓷瓶下段积污,刀闸,套管瓷瓶,实训室,0,0,0,0
SXS_SW22914_DX01_007_1,0,实训室229刀闸B相靠母线侧接地线松脱,刀闸,接地线,实训室,0,0,0,0
SXS_SW2501210_CP07_019_1,0,实训室25012刀闸B相末端大瓷瓶上段破损,刀闸,套管瓷瓶,实训室,0,0,0,0
SXS_SW2501210_CP07_019_2,0,实训室25012刀闸B相末端大瓷瓶上段积污,刀闸,套管瓷瓶,实训室,0,0,0,0
SXS_SW2501210_CP07_018_1,0,实训室25012刀闸B相末端大瓷瓶下段破损,刀闸,套管瓷瓶,实训室,0,0,0,0
SXS_SW2501210_CP07_018_2,0,实训室25012刀闸B相末端大瓷瓶下段积污,刀闸,套管瓷瓶,实训室,0,0,0,0
SXS_SW2501210_CP08_025_1,0,实训室25012刀闸B相末端小瓷瓶上段破损,刀闸,套管瓷瓶,实训室,0,0,0,0
SXS_SW2501210_CP08_025_2,0,实训室25012刀闸B相末端小瓷瓶上段积污,刀闸,套管瓷瓶,实训室,0,0,0,0
SXS_SW2501210_CP08_024_1,0,实训室25012刀闸B相末端小瓷瓶下段破损,刀闸,套管瓷瓶,实训室,0,0,0,0
SXS_SW2501210_CP08_024_2,0,实训室25012刀闸B相末端小瓷瓶下段积污,刀闸,套管瓷瓶,实训室,0,0,0,0
SXS_SW2501210_DX01_007_1,0,实训室25012刀闸B相靠母线侧接地线松脱,刀闸,接地线,实训室,0,0,0,0
SXS_SW2501111_CP07_038_1,0,实训室25011刀闸B相末端大瓷瓶上段破损,刀闸,套管瓷瓶,实训室,0,0,0,0
SXS_SW2501111_CP07_038_2,0,实训室25011刀闸B相末端大瓷瓶上段积污,刀闸,套管瓷瓶,实训室,0,0,0,0
SXS_SW2501111_CP07_037_1,0,实训室25011刀闸B相末端大瓷瓶下段破损,刀闸,套管瓷瓶,实训室,0,0,0,0
SXS_SW2501111_CP07_037_2,0,实训室25011刀闸B相末端大瓷瓶下段积污,刀闸,套管瓷瓶,实训室,0,0,0,0
SXS_SW2501111_CP08_050_1,0,实训室25011刀闸B相末端小瓷瓶上段破损,刀闸,套管瓷瓶,实训室,0,0,0,0
SXS_SW2501111_CP08_050_2,0,实训室25011刀闸B相末端小瓷瓶上段积污,刀闸,套管瓷瓶,实训室,0,0,0,0
SXS_SW2501111_CP08_049_1,0,实训室25011刀闸B相末端小瓷瓶下段破损,刀闸,套管瓷瓶,实训室,0,0,0,0
SXS_SW2501111_CP08_049_2,0,实训室25011刀闸B相末端小瓷瓶下段积污,刀闸,套管瓷瓶,实训室,0,0,0,0
SXS_SW2501111_DX01_006_1,0,实训室25011刀闸B相末端靠开关侧接地线松脱,刀闸,接地线,实训室,0,0,0,0
SXS_SW2502210_CP07_019_1,0,实训室25022刀闸B相末端大瓷瓶上段破损,刀闸,套管瓷瓶,实训室,0,0,0,0
SXS_SW2502210_CP07_019_2,0,实训室25022刀闸B相末端大瓷瓶上段积污,刀闸,套管瓷瓶,实训室,0,0,0,0
SXS_SW2502210_CP07_018_1,0,实训室25022刀闸B相末端大瓷瓶下段破损,刀闸,套管瓷瓶,实训室,0,0,0,0
SXS_SW2502210_CP07_018_2,0,实训室25022刀闸B相末端大瓷瓶下段积污,刀闸,套管瓷瓶,实训室,0,0,0,0
SXS_SW2502210_CP08_025_1,0,实训室25022刀闸B相末端小瓷瓶上段破损,刀闸,套管瓷瓶,实训室,0,0,0,0
SXS_SW2502210_CP08_025_2,0,实训室25022刀闸B相末端小瓷瓶上段积污,刀闸,套管瓷瓶,实训室,0,0,0,0
SXS_SW2502210_CP08_024_1,0,实训室25022刀闸B相末端小瓷瓶下段破损,刀闸,套管瓷瓶,实训室,0,0,0,0
SXS_SW2502210_CP08_024_2,0,实训室25022刀闸B相末端小瓷瓶下段积污,刀闸,套管瓷瓶,实训室,0,0,0,0
SXS_SW2502210_DX01_007_1,0,实训室25022刀闸B相靠母线侧接地线松脱,刀闸,接地线,实训室,0,0,0,0
SXS_25022_A_RIGHT_YXFH_1,0,实训室25022刀闸A相靠主变侧引线发红,线路,引线发红,实训室,0,0,0,0
SXS_SW2502111_CP07_038_1,0,实训室25021刀闸B相末端大瓷瓶上段破损,刀闸,套管瓷瓶,实训室,0,0,0,0
SXS_SW2502111_CP07_038_2,0,实训室25021刀闸B相末端大瓷瓶上段积污,刀闸,套管瓷瓶,实训室,0,0,0,0
SXS_SW2502111_CP07_037_1,0,实训室25021刀闸B相末端大瓷瓶下段破损,刀闸,套管瓷瓶,实训室,0,0,0,0
SXS_SW2502111_CP07_037_2,0,实训室25021刀闸B相末端大瓷瓶下段积污,刀闸,套管瓷瓶,实训室,0,0,0,0
SXS_SW2502111_CP08_050_1,0,实训室25021刀闸B相末端小瓷瓶上段破损,刀闸,套管瓷瓶,实训室,0,0,0,0
SXS_SW2502111_CP08_050_2,0,实训室25021刀闸B相末端小瓷瓶上段积污,刀闸,套管瓷瓶,实训室,0,0,0,0
SXS_SW2502111_CP08_049_1,0,实训室25021刀闸B相末端小瓷瓶下段破损,刀闸,套管瓷瓶,实训室,0,0,0,0
SXS_SW2502111_CP08_049_2,0,实训室25021刀闸B相末端小瓷瓶下段积污,刀闸,套管瓷瓶,实训室,0,0,0,0
